pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
5.140764623968683,0.06373460074890014,0.5054448038807557,74.30060905772245,145.77456410292984,2.894631982030361,3.5790187772664,21.443435543924483,44.43828857943288,16.57869729334961,1.2513956096041987,0.6133500432237022,0.6155033466786498
6.87471219116065,0.6057843559557756,0.22139091863018326,26.247010981138146,301.3342735943606,7.038953148010943,3.1179659296718816,43.68576621599459,-0.03052742413295295,29.163169083283382,1.8491144247261442,0.719675693109576,0.31417449849202306
8.637545672452802,0.2627701262968156,0.5219087955032635,5.739066361389139,577.8915710866959,41.438661966559756,23.76296478096034,7.993856984247243,13.552493434948026,6.284929636810607,1.7681368226589054,1.9236456562749236,0.32000455645547593
7.133585621869598,0.13798776845806704,0.42800003234318496,15.882411399198569,660.2481063749096,12.763649098531477,4.340232355495992,25.22282642450667,13.06655638186652,17.95951714570029,3.454505203889212,1.2141815247923755,0.5823181340068796
9.117779931811624,0.24118371956733906,0.4834358850063946,8.884608953722863,376.5888686702027,37.45368182675878,9.08455771181995,31.326651174452497,3.849375950075644,4.244595945165754,1.1624297269757577,0.8194192176314352,0.8631693102033455
,,,,,,,,,,,,
8.282795487122543,0.2501811918151238,1.0321381128937626,20.630557117674734,143.81182854320843,6.879496836973926,5.698063625682722,30.59746140314561,8.251437448473274,9.241184614077094,1.798358709734933,2.0124874551951164,1.0072936001929658
4.749895492698696,0.052074662164391355,0.48416595165292065,10.529093226938732,65.5716271797611,1.725576098523619,1.078585913021401,2.103554121239153,27.001457638670765,18.15879927949395,1.3746768721026656,0.6619112615244763,0.8162646760749522
,,,,,,,,,,,,
7.855580674077005,0.07883933185064793,0.42682807262745737,23.331573772536174,541.0964932258277,13.228905444143832,6.282231309553525,24.93529870514288,4.417643275551749,8.851431458400974,2.4607435854799085,2.2151638665098847,0.7594202497607228
7.982252634716236,0.5312568485285246,0.47077929404815466,7.235100052536758,99.25664227660563,40.864046423580284,15.97320065791851,14.066040869607047,8.010301118690936,10.891508716007712,2.1270252501824074,1.306515079087446,0.5340663364569731
5.996559832643941,0.1247421642936683,0.28190569580324654,15.920513433838043,260.71118544264294,6.074732429814562,2.2446057115582105,14.31571057481262,39.4638935872072,24.148350927558724,3.5096150591743136,0.6374826068752,0.9696012549233248
6.977941459721198,0.12119540576981487,0.4497441431813173,16.199108992680763,663.6572377067927,11.798903425884355,4.6360083074358105,25.022513116477775,16.255283514758165,19.101334530900637,3.4150956284432215,1.324116085705678,0.5976158365973876
5.706365129940378,0.0741687459264362,0.7573438463528802,80.19865155735756,147.14497740102976,4.869041154382264,1.8836641936972531,20.26793448847566,18.43593201352719,56.500256778130364,2.200751726426538,0.6735256919850914,0.5877594554078165
6.823898210500781,0.11885801788809941,0.6678117066923533,32.61464685729367,117.1041018079269,6.510850480124011,3.395517492280332,27.02581053731441,9.74299009112017,21.984356117036917,2.5698061841552744,1.6544130388188267,0.9713647201496167
8.40342465302871,0.18341276181567498,0.4733182846512521,6.74290673190959,765.4455586631262,52.86216840592279,4.859027476034589,15.807551086683882,5.935231645237568,1.4405562740694418,2.579442993636547,1.6918972346421477,0.8154425628182979
,,,,,,,,,,,,
7.730557122255859,0.1489580455428361,0.48610146231729573,25.54091217079,698.4106576558341,7.274395581820935,2.44363981869513,58.139377279883504,2.7997025783080174,0.6292069163050443,1.1384705408777338,0.41471434838327814,1.0445263850141167
5.7578136203970685,0.06316575653840961,0.7302464776019493,79.41015198693758,157.9022392096546,6.1022513513412235,1.9690765191948072,19.19984655589511,18.38162096245866,55.6666075192059,2.149399439921649,0.7002645577683847,0.5689709052348231
6.960408860154291,0.1404702149597761,0.44975770598649206,13.61986651039926,643.1559926413687,11.86851895702204,4.272253486566765,26.171597489382304,13.683969930774985,19.44140490476441,3.2873903043162835,1.2877715654283417,0.5834765861635676
8.616701838065556,0.15671890935930843,0.502565260686123,8.597442095338206,772.6802755293048,53.45975257052188,4.922053358509714,14.918536340976713,7.025809480650951,1.0039870863198375,2.541183232474555,1.7484716686436368,0.8107257000575516
7.803053975009051,0.07328076365583637,1.0685028743369032,26.80824829514277,231.5978101019231,4.536268883042954,2.26363864776041,11.405773374282532,2.494537172391799,5.553785743536581,1.27473678719885,0.49735748078028313,0.6164204844156796
5.721862657602324,0.09395190231076955,1.12188824707135,35.698478955362326,205.32404040312633,7.189280452345615,3.064113098881403,16.767040848531582,18.987530889011854,35.70385973226612,2.134482031888395,0.8898667623612819,1.1759144133241004
8.720412957987689,0.14481087261866044,0.5481935245498761,12.865336558938345,312.0983523689797,17.094128667423334,4.745777784267443,17.338671652284642,19.767336468909136,2.4348946096717525,0.9270220610239066,0.10490543006535104,0.18095440854267317
5.274149382973971,0.011157614343744711,0.3703972170985308,1.1443187826033268,713.1937934298497,2.5143332652647534,1.9691310318589934,28.052361773357674,1.7926825815757577,12.146745239078681,0.8738637038516192,0.6164971634993417,0.5843042457720706
6.283252871606063,0.0651562598685667,0.2034798876859518,57.28512438858143,158.54547952684774,4.061343095927227,1.8639832293149408,11.575203284704616,25.93552411717218,18.01402396722826,1.0860449476620417,1.095958219738474,0.7382685166116373
7.7007162628990535,0.3285106226726862,0.6119457363987482,32.81633792654054,586.3559343972017,,14.794396399084823,7.380847391147066,5.611194444567143,4.555036976205167,1.216519781375414,0.7654381312678445,0.282684190119923
8.573125496729256,0.1189887938980108,0.36875003543510665,9.317164557100769,525.2591500943887,,26.180168439428122,14.38999979361837,5.958455481304769,2.834833126148637,1.2921836148606047,0.2528936598475151,0.7374132580667777
7.023492673365034,0.10977941795751898,0.6314123044921862,31.653130595403958,334.70227677972565,8.126753165941501,2.6572549933513514,9.045789014236426,10.568933603191004,10.020388959606576,1.3206832170995932,0.6551818381127481,0.47280806593338864
8.583312893023194,0.060649327705649,0.6932525055434595,39.54421694569231,228.55490753379758,6.916395493231873,5.1893382581166385,34.3215474623564,13.756526702484585,4.081090631362574,1.5382951783188306,0.5102524713260397,0.7676389348496006
5.284615043336654,0.05034805437199001,0.8763234299638458,81.53285851261862,138.21199009389673,2.8221388852455616,2.8859325513710825,5.253844137529753,15.450418639636258,44.3133158433569,1.1885318410756514,1.2205613757334033,0.9909754017442305
5.288990721312586,0.05701130033872228,0.7999119223020904,20.18619492278505,315.9119874604807,2.341316340790916,0.477200601630973,19.793706977144222,44.89386062875874,21.865825792719342,6.241589190358156,0.49391524558215466,0.680089368967652
7.6778678793182396,0.3166525707267239,0.6116767511450444,32.253438985933556,603.883243103526,,14.757871804262722,8.440683088993389,6.9755159946901655,4.888230726249776,1.1025431458258865,0.6849417799920949,0.2539087150505762
4.834372275428489,0.038520328343627855,0.8021713086750982,28.25173673430873,298.7059310569125,1.5307155094492564,1.8058735000147896,17.140506567561637,39.874592212065174,25.14786293307972,1.194102098808622,0.08750658093241931,0.4500567275523943
6.955748138536298,0.034143162906328774,0.09549820786433129,39.832267027915684,313.1475320188865,2.4942229955214756,3.393146057815928,8.369204821105884,2.3065907036061377,4.6152987715615215,0.2545960411623108,0.38711876421399105,0.8558615348477555
7.077752537107219,0.15314933690859703,0.4350929656532997,37.09663205101384,242.40223802912604,4.253695758133981,4.002453749423992,24.518698964939496,3.431075913745266,7.141763137400937,0.9761171153440157,0.6263211621696567,0.8459453158880319
8.470224908806465,0.0801321417351073,0.3832558482604868,19.23334488786136,203.45225045482385,7.256667714543102,5.475548102347823,47.13835925907213,2.3155372673585735,6.9266884199536225,1.6589035091246997,1.388614946488246,0.14994826595716934
8.60454323059676,0.1973908846414978,0.5089534579839354,8.391591010095931,763.851883718629,51.94069676554075,5.273410890522817,14.302621198321333,5.436853455832435,0.13899486303191422,2.7941215731455484,1.7860154001853241,0.81138904424289
5.655439492604284,0.0684293835002576,0.7234684565191719,22.952486759687865,195.37499961866257,4.633996630676725,1.561935974200142,7.020996320706895,42.670392825828294,47.07769653461823,2.424337852675092,2.7301811844420305,0.9652570009935532
8.819998123955868,0.31239568603354095,1.3532799425062676,8.669039466675223,266.8624614191081,16.16573926459254,6.81129056484992,15.98446769968008,10.735522126431954,14.046282774319165,0.9072887435202788,0.23694733270676627,0.45739738552336634
6.314610455062841,0.12827989513713603,0.7396709133988065,52.8171033687583,263.03223777391867,4.96583738288345,2.3773217178094024,7.9336372930264805,2.3655850997106005,26.71404706955715,1.9130703473564838,0.519753362417092,0.48646893217770615
8.844139475249367,0.18165763719467531,0.4013242370795601,33.1823996024857,118.58825499288112,14.403453603456876,8.015880038424015,17.795063447001247,12.515713073883532,3.299682052764478,1.9587712191453623,0.6564491783614022,0.7690927349854094
8.090846696452193,0.5594981775969844,0.484641425927008,6.543497744768877,115.48646670377752,43.01815742540774,15.208433699861574,14.61175788511659,9.66209613779635,9.267127342674526,1.8099235047644167,1.352882136450558,0.5455549331052065
4.936800713167714,0.1284608566565365,0.17996187118679471,11.31340795529683,187.06449934738583,5.931484322310064,2.783286571403708,8.0353151293597,33.40128979102911,4.593947316774968,4.09594750483209,1.9392466824040981,1.2401686203684918
5.2968385749860465,0.07302526017447064,0.6560791457409955,10.866420641446474,154.43624873685644,3.2236939759335854,1.6068411323380782,6.383285468542897,46.50607072630185,45.26788973236805,5.575324178860406,2.9219756827955803,0.9884109330573316
6.677856377030796,0.06739386146121189,1.280614033622639,4.292505102992926,345.6906523832472,19.72126873598794,3.055877558521566,7.46192363899855,32.01341730377027,21.848229439002445,6.260523234562856,0.415895829522047,0.6464789612526342
7.726605610278581,0.24135710369046778,1.2016793736495412,63.014923140663754,762.1500591684119,6.970269962476155,3.218613721355822,21.606265209950216,3.9084978456926196,15.522553291233903,3.261498152121629,2.7853178428131455,0.9159926615766766
5.009327577472983,0.03369306217956061,0.2794311193728978,3.8292962333529807,90.22040414312596,-0.2776978651385805,0.9249743186580157,8.904338875466284,13.084266897691872,14.811828699361204,7.154199313857994,0.6876227674650317,0.5323966158361814
6.382616519416627,0.08917972424310945,0.9238864302057953,7.507594990035453,188.01452138117546,13.912019973309851,6.707458466535859,18.406377760409164,31.75356228668863,27.149169617446734,8.120362544387353,0.694360800906597,1.0227303947591713
8.207914456553045,0.26105044788163645,1.0228975526481834,22.918709666730635,159.73296679633316,5.98826948353514,5.929782976402603,31.153469069121154,9.803124223745916,7.252500277201754,1.4702767089288786,2.002546104319598,0.9801008237924409
4.684075582861624,0.06864281939553821,0.7022555208792498,55.8231555949156,93.29694900735636,2.6505675260349593,0.9924417770569252,9.313377975077795,22.274501241006295,19.402600629814163,0.5812349990200939,0.689169212676877,0.07622911700132079
7.990780512384424,0.5429954202795455,0.4788287683812361,4.285771723025883,96.0521341920025,41.53477037373014,15.280516737530315,14.217009868037286,8.336477669594522,10.24228353965287,2.0735644346503723,1.2947216276311184,0.5263957218762128
8.277241047920675,0.4373762202370466,0.6248692045643622,10.827498391849229,497.46225027665923,42.705332480626645,9.21758619229375,10.163654948959778,13.845838469454723,20.19715936736137,2.852737195880832,0.9115017089721301,0.158419320890919
6.265692448864622,0.04792488638587502,0.21697499878468865,56.691344642852144,152.90539955551048,3.9022803595360283,1.662930504432986,11.900435199904338,25.91530584870209,17.992379889125996,1.2401029024172308,1.0161144677184344,0.7158898717085801
6.320280105715013,0.11828358562656104,0.7539457376314119,15.617273895428085,234.6435515823578,9.954180962439434,2.3323395234827804,18.375180895898293,8.368014286591844,10.901538089963328,1.7610452292328564,1.0837607326419365,0.8288564023762609
8.032476246167867,0.5585830218189718,0.48070615331652194,7.197673682789241,113.35706378028497,43.21557307971403,15.03177964417157,13.207555461728115,11.541013610804569,10.689899400801297,1.8342482942767586,1.3100630792015573,0.5475802211099218
8.375207919769293,0.25635871176641956,0.6183409999742849,13.61592863295156,582.4461187230082,44.10985031049337,3.3259704530740266,18.169455589923402,4.797370565167168,4.462496422419635,1.9529662632749882,0.5691682489207726,0.6851206549344699
6.2200085026172145,0.13284145070397124,0.908021330785027,5.4102912498608715,180.53148958805332,14.154508413255986,6.996276529022939,18.2879457204674,29.286680097812045,27.85307704856127,8.375221608998995,0.8167752607402005,1.0127005814373453
6.699039945323389,0.22184606218919128,1.1967802572834598,3.308814543004163,247.6873477877447,26.22731204620864,2.2272858785153518,11.730136951799265,38.86547974318162,21.341489939647527,7.570409735096092,0.4178577766894966,0.8121645584518334
5.231659732996124,0.020676406733106893,0.352199707180888,2.102959574301344,710.9990398751974,1.2398885174475693,1.5600963010129327,27.94407453402273,2.219413992120283,12.049271106324246,0.8429490826763781,0.5809860550923207,0.5734947063121705
6.129050393045061,0.10911491423165767,0.9850659048892334,27.737672362473738,457.17002039316054,5.244209096689902,3.3128637757833896,23.786412416152224,122.82647109390648,27.053089472896893,0.5937386812473852,1.1474952151342974,0.1434017011550619
5.231544968224136,0.07149631518785207,0.8025093460115458,19.127858218731866,322.0251328978796,0.3486603379286699,0.6354568178957136,17.666925517386208,41.0579293668753,21.629898885484632,6.136347079246335,0.51036968096097,0.6778400502481526
7.5302996836913225,1.337207130391906,1.1751091052496334,14.892798800159817,794.2142547791427,60.54956423074388,18.844582580393276,23.524912710638755,12.916047887498497,4.506756747192982,6.385654637053739,0.5753719168991569,0.4158542130794278
6.561499492532766,0.2778272147558293,1.096068820742995,13.524835743550927,312.7494763799064,4.777088824743745,3.1536586417828594,7.202568967586924,17.956100313614442,22.49133686502142,2.6068208661468226,1.4830114056367618,0.3725875242061313
5.911018189053692,0.1389055995752837,0.24021230942408067,13.315685420036695,205.97546575400926,6.6791637765306415,3.658105489733148,29.549308286012753,156.5953952019726,50.02602878730089,4.478696064125977,1.484290606920025,1.024309661980369
8.585568242148842,0.20091881916463686,0.3990846468580985,8.118240918930987,466.25472040067166,21.31959427184595,11.971689124949425,21.78756850676002,3.1411028046574136,1.5998752114130395,1.5421885834558147,1.508686291550915,0.41477373874096446
7.436000377414032,0.12181991067121357,0.631041507654618,37.476379842734865,130.1727076211041,3.174922072237332,1.7121234315299414,21.9186409754983,7.794210014408264,15.77371687836782,0.7749238572303517,1.7033232752868877,0.8837085826819672
7.122095478906934,0.4067898115744436,1.1613353678836968,39.87542947186343,322.951030914816,8.91537999461714,3.562247744639514,13.190204278222511,5.611422083692563,47.16320177100139,1.4586894925443863,1.152705445085184,0.5155012668562139
5.034608376829573,0.05491244816359653,0.23511004251002837,36.391042045484696,114.76792043148868,2.154602974360456,0.760107485452007,25.127717781213146,-1.5439922849183776,7.883315254127528,1.507933331622593,0.5995469489884998,0.36603883769045786
7.7178125578543755,0.4878616868532044,0.5808471573510288,22.54754691999524,334.2949672485495,20.610569975655174,11.680100599157734,16.4453548627614,0.6290113837004963,12.310433576317946,10.314505888923678,0.7187797811720233,0.20756643307177913
6.811674622498162,0.18550183660945346,0.8752278835414541,66.40086400233824,293.21558225115245,9.356721524168101,4.3474843433755,14.654200941913693,41.4201591141412,25.530644907310528,2.678226485779317,1.203261953243257,0.6918259668843886
8.56855231058999,0.31716553406360504,1.3393582060326605,9.310267530078828,267.31998433334553,16.642964761435426,7.308695214672409,17.38498509985641,4.387967791302475,12.592864129482393,1.035208375959184,0.3548870973571636,0.4519396146072896
6.03752372702358,0.07525949054525813,0.8017576867939138,5.12356524851005,214.3049345051619,5.066870277803825,1.10622721295581,3.6827758874557786,85.64053959799725,20.179936743752048,4.180985273918992,1.771032114332794,0.5499634896071914
8.483293543794472,0.19882401616059708,0.4195528297203056,10.008794919278296,444.13355032421265,19.30370477132966,11.918117787074275,20.914305037169008,5.387269592966245,1.2642606945881798,1.372805996553597,1.4891117061747492,0.42340092708826693
6.073888757962524,0.13926862100519338,0.17883862611826626,42.99152371149424,273.16013542044607,12.594355963540549,4.928478476113593,12.79473303599803,123.41552634183945,40.833082472301726,2.5979051700709133,2.2037644728344796,0.890410904751815
8.046075509418253,0.4033003868751688,0.9537755795398813,24.530137920151542,385.7600418199059,6.1457678713509125,2.0168325052721547,42.35080062220921,-1.5847995048845442,10.277203160763698,0.8208323285998389,0.7443850061876199,0.463015145336074
8.627651975267122,0.1489921006792087,0.5588908885100233,12.232343535391422,306.91875612242893,15.4140213476728,4.750160792980673,17.108564278976203,15.952623258248412,1.903990454093453,1.2295982841873745,0.11855433965172264,0.18789702997049204
6.050690422078204,0.11938784991150114,0.25933388843715593,14.278319257063924,270.82728345929456,5.40166333522831,2.3090521978300504,14.709363358762111,40.408250083923946,24.76416834383242,3.5935679605829907,0.5995558749764293,0.9632519263652902
8.811133730242386,0.19384336568449467,0.5924215500527116,59.296250276605825,448.92033882684535,30.891673265234537,3.0455840875079527,25.80392352253126,5.504182732832149,12.048417932539078,0.774826385881001,0.47659720559026697,0.2572145200177199
,,,,,,,,,,,,
5.030489983743197,0.14679203184960113,0.7693178796120742,20.382394562128354,127.16776813401395,3.393112624166428,0.7804260034928083,17.82663011340409,63.9548272423301,15.617689202251608,0.8471980407628817,0.6488419537449392,0.7669798258047498
9.068106990689706,0.2698875506059978,0.48006076765959793,11.537950402476508,367.67168364174086,36.904546291886646,9.256831273651834,30.896211185227866,4.702413260926214,4.695030032955957,1.417664585550957,0.7383265991266275,0.8261155419246162
8.157942577499423,0.24094375858905792,0.8209154908267327,28.258101441923767,231.00747599010708,4.953536149387184,3.1402314308764607,26.744693564752342,17.108261657341288,3.752988504743481,2.3883525441117417,0.4979074217211364,0.3175806078097318
